group_topic,final_location,tweet_count,account_count,temp_counts,temp_percentages
"blocking, ssw",turkey,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,canada,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,tropstrat,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,poland,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,"nirvana, uk",1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,lithuania,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,liechtenstein,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
blocking,italy,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,greenland,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,finland,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
blocking,eurasia,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,"canada, canada",1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,britain,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,ukraine,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
blocking,belgium,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,america,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,albania,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
blocking,alaska,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
beastfromtheeast,z ecmwf gfs homing,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
beastfromtheeast,sweden,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
beastfromtheeast,south west,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
beastfromtheeast,scotland,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
beastfromtheeast,netherlands,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
beastfromtheeast,liechtenstein,1,1,{'very cold': 1},{'very cold': '1 (100.0%)'}
blocking,ukeurope,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, beastfromtheeast",anomaly,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"blocking, ssw",austria,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"blocking, northerly",norway,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"blocking, ssts",norway,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, polarvortex, ssw",united kingdom,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, polarvortex, nao",Unknown,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, polarvortex",uralsscandinavia,1,1,{'cold': 1},{'cold': '1 (100.0%)'}
"blocking, polarvortex",netherlands,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, polarvortex",france,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
"blocking, polarvortex",croatia,1,1,{'mild/not relevant': 1},{'mild/not relevant': '1 (100.0%)'}
