group_topic,final_location,tweet_count,account_count,temp_counts,temp_percentages
"snow, cold, uksnow",sweden,150,12,"{'cold': 76, 'mild/not relevant': 70, 'very cold': 3, 'hot': 1}","{'cold': '76 (50.7%)', 'mild/not relevant': '70 (46.7%)', 'very cold': '3 (2.0%)', 'hot': '1 (0.7%)'}"
"winter, cold, weather",germany,147,13,"{'cold': 74, 'mild/not relevant': 60, 'very cold': 10, 'hot': 3}","{'cold': '74 (50.3%)', 'mild/not relevant': '60 (40.8%)', 'very cold': '10 (6.8%)', 'hot': '3 (2.0%)'}"
"winter, cold, weather",united kingdom,131,12,"{'cold': 65, 'mild/not relevant': 59, 'very cold': 6, 'hot': 1}","{'cold': '65 (49.6%)', 'mild/not relevant': '59 (45.0%)', 'very cold': '6 (4.6%)', 'hot': '1 (0.8%)'}"
northerly,Unknown,121,9,"{'cold': 108, 'mild/not relevant': 13}","{'cold': '108 (89.3%)', 'mild/not relevant': '13 (10.7%)'}"
polarvortex,Unknown,112,5,"{'cold': 68, 'mild/not relevant': 38, 'hot': 3, 'very cold': 3}","{'cold': '68 (60.7%)', 'mild/not relevant': '38 (33.9%)', 'hot': '3 (2.7%)', 'very cold': '3 (2.7%)'}"
"cold, snow, z",norway,110,13,"{'cold': 76, 'mild/not relevant': 31, 'very cold': 3}","{'cold': '76 (69.1%)', 'mild/not relevant': '31 (28.2%)', 'very cold': '3 (2.7%)'}"
"cold, snow, z",united kingdom,93,9,"{'cold': 57, 'mild/not relevant': 35, 'very cold': 1}","{'cold': '57 (61.3%)', 'mild/not relevant': '35 (37.6%)', 'very cold': '1 (1.1%)'}"
"snow, cold, uksnow",scotland,85,10,"{'cold': 59, 'mild/not relevant': 24, 'very cold': 2}","{'cold': '59 (69.4%)', 'mild/not relevant': '24 (28.2%)', 'very cold': '2 (2.4%)'}"
"cold, snow, air",norway,85,11,"{'cold': 39, 'mild/not relevant': 37, 'very cold': 6, 'hot': 3}","{'cold': '39 (45.9%)', 'mild/not relevant': '37 (43.5%)', 'very cold': '6 (7.1%)', 'hot': '3 (3.5%)'}"
storm,norway,75,12,"{'cold': 50, 'mild/not relevant': 23, 'hot': 1, 'very cold': 1}","{'cold': '50 (66.7%)', 'mild/not relevant': '23 (30.7%)', 'hot': '1 (1.3%)', 'very cold': '1 (1.3%)'}"
beastfromtheeast,Unknown,73,9,"{'cold': 63, 'mild/not relevant': 7, 'very cold': 3}","{'cold': '63 (86.3%)', 'mild/not relevant': '7 (9.6%)', 'very cold': '3 (4.1%)'}"
blocking,united states,69,11,"{'cold': 49, 'mild/not relevant': 17, 'hot': 2, 'very cold': 1}","{'cold': '49 (71.0%)', 'mild/not relevant': '17 (24.6%)', 'hot': '2 (2.9%)', 'very cold': '1 (1.4%)'}"
storm,united kingdom,67,11,"{'cold': 45, 'mild/not relevant': 21, 'very hot': 1}","{'cold': '45 (67.2%)', 'mild/not relevant': '21 (31.3%)', 'very hot': '1 (1.5%)'}"
"cold, snow, air",sweden,64,11,"{'cold': 47, 'mild/not relevant': 17}","{'cold': '47 (73.4%)', 'mild/not relevant': '17 (26.6%)'}"
"snow, cold, uksnow",ireland,56,10,"{'cold': 42, 'mild/not relevant': 12, 'very cold': 2}","{'cold': '42 (75.0%)', 'mild/not relevant': '12 (21.4%)', 'very cold': '2 (3.6%)'}"
"cold, snow, air",united kingdom,48,10,"{'cold': 27, 'mild/not relevant': 16, 'hot': 3, 'very hot': 1, 'very cold': 1}","{'cold': '27 (56.2%)', 'mild/not relevant': '16 (33.3%)', 'hot': '3 (6.2%)', 'very hot': '1 (2.1%)', 'very cold': '1 (2.1%)'}"
